,id,label,max_val
0,001dce72-b1c1-44b1-bf16-0c22cfe3a420,17.0,6182.25459959649
1,00a3c3e4-bf1f-4c0b-9e18-8bc60e66575d,16.0,5388.17008200022
2,0252a8f5-9913-47bb-a70f-c86e5c69f71a,0.0,6167.61428720019
3,026ed97d-d51e-489a-898e-6547d6f569f2,16.0,5030.71987919975
4,02a7475b-9007-4aef-a265-b38bbdbbec32,16.0,6890.56764360066
5,0358067f-cd41-4d91-ba9e-91405fbfc704,10.0,5592.87438239699
6,037d3c0e-2c33-4705-a6a4-778ce0858c85,0.0,5297.84380320052
7,04b1dc78-587d-4837-978e-ac288a2b480c,8.0,16911.2597319981
8,0670c6d3-ba11-476c-aac5-c63e399e27c3,8.0,16764.0509507983
9,06d1421b-265b-4a13-a39f-6df00dbf92a6,15.0,10240.1543047999
10,0987b42a-c841-4454-90ac-69e5b1054cd5,1.0,7531.24620319795
11,09f9a8ca-f346-4c9e-9ce6-8e7725bae5b3,8.0,13859.1989368015
12,0a093f26-5bfc-48bc-9a1e-47250871184d,7.0,10056.2111371983
13,0a82d537-6445-4402-b9c7-5701ed09b224,0.0,4735.15966880041
14,0aff5786-2cc9-45ca-90d9-d99c74821ac4,1.0,5916.42645839966
15,0b7728d0-c37b-4bb2-8c55-bb0211244291,14.0,7702.69123039907
16,0b8efd0d-2944-4300-87fe-47be4fb8500f,15.0,6459.13021760134
17,0cc0fcd7-ba31-4b36-abd6-a59b9700918c,15.0,15376.6253920039
18,0d1df061-d516-455b-9194-4b515a2a94af,14.0,7755.82014360043
19,0d359b12-cb16-4b49-a0b0-df6f5c378040,14.0,6598.18447400085
20,0de28587-2941-47f6-9555-b4456ab5ae9c,8.0,22667.2312364026
21,0e3bc76d-f700-4f37-b09c-60de4f2fd8e7,8.0,12823.2936915992
22,10d3bcbc-8658-4dc8-82ef-350e8f726ccc,0.0,5278.86637720076
23,1178737b-13d0-4f18-be37-485975448f37,6.0,7082.08516360173
24,11a4bd1a-f335-4c88-9673-32f479291738,8.0,20123.1123748003
25,11dace6f-33da-4f18-8ced-3fad7d6df8ed,14.0,5565.42703160085
26,12481948-7808-4615-84f7-a0d92eeaf1a2,0.0,19397.4059492029
27,132493ee-cece-4eb1-b41e-668773466e6c,2.0,9319.10792279814
28,145c8646-ab3b-4999-9799-de82bd00d2b6,0.0,13777.6053984053
29,151d956a-53ee-480c-91a6-2aa5afcce049,10.0,5969.52607120056
30,1550eee5-7061-48ca-8074-8af80bf1bcd6,0.0,22821.6867199999
31,1573ed56-b0fd-4ad4-9c73-2f568681fa23,0.0,22977.0307836006
32,15baadac-ad4e-43eb-959f-b8d73e726177,16.0,3939.7953560001
33,1659bb8f-768c-43a5-98d6-7343b146cc74,6.0,4138.43579440072
34,16aa1678-a581-4dfa-a91e-17f48bdfd4d3,13.0,34071.0420903997
35,1714f630-6922-4bfa-84cf-07b61aa076ba,10.0,8515.37463600107
36,175a1ef7-2f94-453d-8713-d9f1912dd027,2.0,11001.176519203
37,18025781-5a6c-4489-a850-7ba0f76eaadc,16.0,14748.1601519976
38,18250f70-382d-4cb8-a5df-1683737d47ae,15.0,16936.7504631955
39,1885cf63-5f31-45b9-94ab-f7f7815d3bed,16.0,4907.75709880018
40,18ba6fc3-d380-4243-bbef-857c3de97e31,16.0,17388.6304663974
41,18e7148e-737c-4e5b-a961-456b34c6c768,0.0,13192.6816279956
42,19549d29-64b0-45a8-8ed3-bb689c11f384,1.0,8684.3170428001
43,195a2298-ec45-41ef-9d46-0e9d8d6d075f,16.0,4655.29373360187
44,19636f91-d044-4bc4-8cab-d9fae1bd07c0,14.0,13239.3913695996
45,19f5f180-1f4e-45d9-85ce-db650babe239,14.0,18407.999568386
46,1a3291cb-1448-4558-b5a7-7ecc8e53ac7e,1.0,7656.79401320085
47,1a3b62a9-3717-4571-a5a8-1c18be4d0a25,1.0,5954.56416880001
48,1cfd98e3-88b9-4c3e-9a8a-d6b7be873468,6.0,4792.47377119827
49,1e0c57b1-0769-4337-b6f6-5d7309d91ca4,16.0,15068.4874903964
50,1f03795f-faf0-4d0e-8434-7eda17f639db,9.0,7142.07799280121
51,1f2d6239-4aa7-48de-a41b-730399e0d405,8.0,15083.0578532004
52,1fafc377-6171-4b57-affd-f4cb989c1792,6.0,30695.0166108145
53,2052ea3b-f357-469b-af9e-a80133b0b286,0.0,17408.2762183971
54,217c520a-20b7-45ce-965f-ffab4f04e4d6,5.0,9234.15534559899
55,21862340-57ff-4931-8b59-1e876d78f030,15.0,20518.5877183976
56,2241a124-0e4c-4b18-abb0-0e31108c543b,10.0,9344.1858039987
57,22d3fd2c-a23d-4620-899a-1faee6da511c,8.0,20112.5223447998
58,248f76e2-0154-466c-a85a-3a3fc22c43fa,16.0,13718.3834620009
59,2572c23c-7d70-4f3f-ad62-98bf6311c669,16.0,5864.99039960108
60,25b652df-9fcf-4c73-823f-0756ecc7596e,15.0,9464.01160960522
61,26836f05-c34f-43d2-a29b-b25884c9f9ef,11.0,4683.00151600033
62,26a48d2a-b656-4a2c-a15f-ca9dedd48f2c,15.0,23696.361807597
63,271a4536-185e-46b1-a407-a37ca78b7dae,6.0,8274.11588119958
64,2817a4be-3b1e-4927-a31e-816a1498801f,6.0,4477.10197400011
65,283826a4-c18f-4c0f-a1c5-01caa15386cf,16.0,10088.5806972001
66,2892143c-6849-4de8-b3bf-d585530333e2,8.0,13854.8026356002
67,289df69e-ec97-4684-b9a2-a797996fd1cf,8.0,13814.7947296002
68,29bd893e-5684-4fb3-ab75-2d71b5fa4ea8,11.0,13311.2880400004
69,29f94466-3f15-4241-9e9d-561d06d0afa3,0.0,4200.42791119704
70,2a5f6c56-52f2-49b0-88b4-f8a13a7e1874,15.0,11644.2137407998
71,2ad67833-c435-4b83-a333-5db89da4db8d,6.0,5865.61949439965
72,2b57e0f3-f54c-40f3-a89d-ea12829c4202,6.0,6263.30684039931
73,2bf791e6-e405-4181-be2a-21620cbad815,8.0,13912.1584064014
74,2ced8007-150f-4028-bcd3-dddc818a3d50,17.0,9157.21511602169
75,2ceed31d-5c71-46c8-ba1b-e93a787d683f,17.0,4396.59782480157
76,2cfdab06-4c1d-4663-a017-fae4521be7af,14.0,4817.3771672009
77,2e9a5cae-662a-4aec-8ec2-7d504244b8bc,1.0,8940.55573039986
78,2ed46eeb-bb38-4bd4-b16b-85db6f9f4267,16.0,14507.7149307981
79,2f566b20-d4d9-4608-baa9-0d16c13d8689,11.0,7006.8692832001
80,309b4cd9-fe3d-4dc1-896e-771770be6a38,17.0,5707.29651678994
81,30dc5b53-e184-405a-bb21-43a60c7344fb,5.0,8326.85814678553
82,319cebc4-74f3-4f4b-b52c-9f6b707a28b3,7.0,4918.88444879987
83,31b30bdf-e3a5-4f0c-8366-9b7ba4dc0076,6.0,5341.17734319807
84,325c829d-90c2-44ab-a359-47d702b9fc47,11.0,6075.76298240019
85,330caf03-7eca-4e6b-aca9-661b17716fd2,14.0,12740.988531601
86,3356ae03-6ec7-4427-bdef-ee4de3fe1e32,8.0,4893.00324079886
87,335e6fe0-1521-4392-91d8-ce2259d8a396,14.0,5795.18105839816
88,34e570ca-86f8-4bef-9b09-a37ec2cb38fc,8.0,9093.28944639992
89,367621ef-7d7b-43eb-ba1f-988e90b4fbed,7.0,9932.66770280025
90,36838001-300e-4ed6-9679-d4e5c938bd6c,2.0,6967.44128160208
91,376c1716-47cd-4972-ad72-5ff9bd0e96c1,16.0,10876.9708455998
92,37d2353e-8bae-41d2-863e-86adbb8aad5e,5.0,6027.50985600005
93,37eee0ce-86d6-458c-9873-e6d4e4186d1d,16.0,5033.44750560063
94,38478ba8-ecec-46c4-9212-212eca5133a1,14.0,10629.632136799
95,3887ae48-79c0-4b8c-81e5-a4db9b3a9e8c,8.0,22049.7162851989
96,391bd306-0ad0-4925-80b6-dcc70fdade68,0.0,4083.30164159997
97,39b75c35-ddda-4c10-9121-de1b4939134d,8.0,14819.3403120022
98,3a06e019-2b14-4ed6-9d37-0031640b80a5,16.0,7393.95082080046
99,3afbf801-e8d0-4f4e-8659-f6cc4aedf5f9,5.0,6887.20428079978
100,3b42328b-52e3-4027-83b6-13b938c7c2ed,16.0,14198.1937963938
101,3bd86187-c7c9-4557-867c-92a432af033f,14.0,5115.37099120324
102,3d07ae53-5d94-4f29-ac61-19226b29c0f6,8.0,21778.5540191981
103,3d33a705-7028-4eeb-b364-a4abc461d043,1.0,6917.07316759857
104,3ed94f53-5fc3-4c25-b710-65f75231fd6e,15.0,2641.59086960001
105,3f16e879-36c6-4f25-a3da-4564015b8e41,0.0,27272.4219408001
106,3f9eccea-aa85-4987-9fa4-ccdc85e92b9e,8.0,14215.0192156005
107,3fb36d52-a75b-4c91-b0cf-da21760f0421,0.0,19127.9909056029
108,401ba297-e962-4e75-97c9-7f7f20fb48ca,15.0,24351.4517736039
109,40473fc6-11f5-46e9-adde-d56b9e6f2f85,6.0,4644.95366560004
110,40f46761-bcca-4972-9de0-c958ec5f5d30,16.0,15279.73604
111,41e334b9-b076-47de-ac59-fb4270b06dd3,16.0,7460.89898319997
112,4241346f-2e6d-4db1-86c2-bf90d8a6af4e,12.0,15325.6987267814
113,4358571d-31a5-4626-a80f-94190798163a,0.0,13700.3851891968
114,436a9767-40d3-474e-aebd-ef993a784bf5,17.0,7826.11325119797
115,4401eb41-6b13-451e-95c7-aff182447d66,6.0,4930.95185239872
116,44425e1b-44d9-4c83-aff5-246cd80785e6,16.0,5966.79469119999
117,444ea45d-e284-4aed-b719-c9ca2717a7b4,15.0,15401.0817132003
118,4498fa6c-fff9-4843-a4ad-b2fe6116d517,16.0,4532.11123879919
119,44b34988-891c-4d54-959a-37195bf260aa,1.0,4897.7944752005
120,44d22209-778b-4244-ad0b-f7eecf5d339c,1.0,7722.50827400421
121,45619e9d-5672-4e8d-ab33-af970e2368bc,8.0,21130.2881508018
122,46528fdd-b1f0-4713-9a08-3be777e8d7e5,6.0,7146.53414639906
123,470ff305-2fe1-4112-b9d0-20bae3b57ef0,10.0,4948.59462160002
124,476ebd3c-f503-4ff6-9525-7ceddb52010f,5.0,7376.57086559921
